
/* Single initials
;;A.;0;
;;B.;0;
;;C.;0;
;;D.;0;
;;E.;0;
;;F.;0;
;;G.;0;
;;H.;0;
;;I.;0;
;;J.;0;
;;K.;0;
;;L.;0;
;;M.;0;
;;N.;0;
;;O.;0;
;;P.;0;
;;Q.;0;
;;R.;0;
;;S.;0;
;;T.;0;
;;U.;0;
;;V.;0;
;;W.;0;
;;X.;0;
;;Y.;0;
;;Z.;0;

/* Double initials
;;A.A.;0;
;;A.B.;0;
;;A.C.;0;
;;A.D.;0;
;;A.E.;0;
;;A.F.;0;
;;A.G.;0;
;;A.H.;0;
;;A.I.;0;
;;A.J.;0;
;;A.K.;0;
;;A.L.;0;
;;A.M.;0;
;;A.N.;0;
;;A.O.;0;
;;A.P.;0;
;;A.Q.;0;
;;A.R.;0;
;;A.S.;0;
;;A.T.;0;
;;A.U.;0;
;;A.V.;0;
;;A.W.;0;
;;A.X.;0;
;;A.Y.;0;
;;A.Z.;0;
;;B.A.;0;
;;B.B.;0;
;;B.C.;0;
;;B.D.;0;
;;B.E.;0;
;;B.F.;0;
;;B.G.;0;
;;B.H.;0;
;;B.I.;0;
;;B.J.;0;
;;B.K.;0;
;;B.L.;0;
;;B.M.;0;
;;B.N.;0;
;;B.O.;0;
;;B.P.;0;
;;B.Q.;0;
;;B.R.;0;
;;B.S.;0;
;;B.T.;0;
;;B.U.;0;
;;B.V.;0;
;;B.W.;0;
;;B.X.;0;
;;B.Y.;0;
;;B.Z.;0;
;;C.A.;0;
;;C.B.;0;
;;C.C.;0;
;;C.D.;0;
;;C.E.;0;
;;C.F.;0;
;;C.G.;0;
;;C.H.;0;
;;C.I.;0;
;;C.J.;0;
;;C.K.;0;
;;C.L.;0;
;;C.M.;0;
;;C.N.;0;
;;C.O.;0;
;;C.P.;0;
;;C.Q.;0;
;;C.R.;0;
;;C.S.;0;
;;C.T.;0;
;;C.U.;0;
;;C.V.;0;
;;C.W.;0;
;;C.X.;0;
;;C.Y.;0;
;;C.Z.;0;
;;D.A.;0;
;;D.B.;0;
;;D.C.;0;
;;D.D.;0;
;;D.E.;0;
;;D.F.;0;
;;D.G.;0;
;;D.H.;0;
;;D.I.;0;
;;D.J.;0;
;;D.K.;0;
;;D.L.;0;
;;D.M.;0;
;;D.N.;0;
;;D.O.;0;
;;D.P.;0;
;;D.Q.;0;
;;D.R.;0;
;;D.S.;0;
;;D.T.;0;
;;D.U.;0;
;;D.V.;0;
;;D.W.;0;
;;D.X.;0;
